City,Aggregate rating_mean,Average Cost for two_mean,Price range_mean
Inner City,4.9,1120.0,4.0
Quezon City,4.8,800.0,3.0
Makati City,4.65,1150.0,3.0
Pasig City,4.633333333333334,933.3333333333334,3.0
Mandaluyong City,4.625,2000.0,3.75
Beechworth,4.6,20.0,2.0
London,4.535,64.5,3.0
Taguig City,4.525,1725.0,3.5
Secunderabad,4.5,825.0,2.0
Lincoln,4.5,25.0,2.0
Tagaytay City,4.5,1200.0,3.0
Orlando,4.475,40.25,2.9
Tampa Bay,4.41,34.75,2.55
Rest of Hawaii,4.41,31.75,2.35
Palm Cove,4.4,30.0,3.0
Tanunda,4.4,30.0,3.0
Bangalore,4.375,1232.5,2.7
Dubai,4.37,211.75,3.05
Pasay City,4.366666666666667,3333.3333333333335,4.0
Jakarta,4.35625,308437.5,3.0
Hyderabad,4.344444444444445,1361.111111111111,2.888888888888889
Chennai,4.3149999999999995,1085.0,2.45
Ankara,4.305,87.25,2.8
Tangerang,4.300000000000001,250000.0,3.0
Abu Dhabi,4.3,182.0,3.3
Vineland Station,4.3,70.0,4.0
Vernonia,4.3,10.0,1.0
Mohali,4.3,550.0,2.0
Sandton,4.3,375.90909090909093,3.8181818181818183
Randburg,4.3,200.0,3.0
Clatskanie,4.3,10.0,1.0
��stanbul,4.292857142857143,81.42857142857143,2.857142857142857
Auckland,4.275,68.25,3.05
Rio de Janeiro,4.265,126.75,3.5
Boise,4.26,27.25,2.05
Kolkata,4.255,1272.5,2.85
San Juan City,4.25,850.0,3.0
Wellington City,4.25,71.25,3.25
Goa,4.245,1175.0,3.65
Des Moines,4.235,28.0,2.15
Pune,4.220000000000001,1337.5,2.95
Panchkula,4.2,2000.0,4.0
Athens,4.2,19.0,1.6
Johannesburg,4.2,470.0,4.0
Bandung,4.2,150000.0,3.0
Pensacola,4.2,30.25,2.35
Lucknow,4.1952380952380945,859.5238095238095,2.5714285714285716
Guwahati,4.190476190476191,821.4285714285714,2.5238095238095237
Pretoria,4.1899999999999995,492.25,3.7
Cedar Rapids/Iowa City,4.165,25.75,2.05
Ahmedabad,4.161904761904762,857.1428571428571,2.5714285714285716
Savannah,4.154999999999999,32.5,2.35
Coimbatore,4.135,782.5,2.4
Jaipur,4.13,1310.0,2.85
Augusta,4.13,27.0,2.15
