locality,count
Connaught Place,122
Rajouri Garden,99
Shahdara,87
Defence Colony,86
Malviya Nagar,85
Pitampura,85
Mayur Vihar Phase 1,84
Rajinder Nagar,81
Safdarjung,80
Satyaniketan,79
Krishna Nagar,77
Sector 62,76
Karol Bagh,76
Sector 18,75
Hauz Khas,74
Kalkaji,73
Sector 15,71
Mahipalpur,69
DLF Phase 3,69
Mukherjee Nagar,68
Chandni Chowk,67
Shalimar Bagh,67
Greater Kailash (GK) 1,66
Greater Kailash (GK) 2,66
Kamla Nagar,65
Delhi University-GTB Nagar,65
Paharganj,64
MG Road,63
Vasundhara Enclave,62
Sector 72,61
Jail Road,61
Tilak Nagar,61
Palam,60
Najafgarh,60
Punjabi Bagh,60
Vikaspuri,60
Sector 56,59
Uttam Nagar,59
Laxmi Nagar,58
Jangpura,57
Dilshad Garden,57
East of Kailash,56
Paschim Vihar,56
Kirti Nagar,56
Naraina,54
Sector 110,53
Sector 31,52
Sector 14,52
Subhash Nagar,51
East Patel Nagar,50
Preet Vihar,49
Palam Vihar,49
Sector 41,48
Netaji Subhash Place,48
Rohini,48
Sector 29,47
IP Extension,47
New Friends Colony,47
Green Park,46
Janakpuri,46
Vijay Nagar,46
Chittaranjan Park,46
Sector 37,45
Khan Market,44
Munirka,43
Daryaganj,43
Sector 132,43
Civil Lines,42
Anand Vihar,42
Sohna Road,42
Lajpat Nagar 1,42
Old Railway Road,41
Nangloi,41
"Cyber Hub, DLF Cyber City",41
South Extension 2,41
Moti Nagar,40
Sector 45,40
Gujranwala Town,39
Janpath,39
GTB Nagar,38
R K Puram,38
Greater Noida,38
Sector 50,37
"The Great India Place, Sector 38",37
Udyog Vihar,37
Saket,36
Vasant Vihar,36
Vivek Vihar,36
Ashok Vihar Phase 1,36
Tagore Garden,36
Sainik Farms,35
Geeta Colony,34
Alaknanda,32
Chanakyapuri,32
Mayur Vihar Phase 3,32
Nehru Place,32
Sector 17,31
Lodhi Colony,31
"DLF Mall of India, Sector 18,  Noida",31
"Logix City Centre, Sector 32, Noida",30
Sushant Lok,30
Sector 12,30
Mayur Vihar Phase 2,29
Sector 51,28
Sector 16,28
